,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
999,1000,"If our supposition that the Invisible Man s refuge was the Hintondean thickets, then we must suppose that in the early afternoon he sallied out again bent upon some project that involved the use of a weapon. We cannot know what the project was, but the evidence that he had the iron rod in hand before he met Wicksteed is to me at least overwhelming.",NO QUOTE,,,,0,26,1.0,1.0
1000,1001,"Of course we can know nothing of the details of that encounter. It occurred on the edge of a gravel pit, not two hundred yards from Lord Burdock s lodge gate. Everything points to a desperate struggle the trampled ground, the numerous wounds Mr. Wicksteed received, his splintered walking-stick; but why the attack was made, save in a murderous frenzy, it is impossible to imagine. Indeed the theory of madness is almost unavoidable. Mr. Wicksteed was a man of forty-five or forty-six, steward to Lord Burdock, of inoffensive habits and appearance, the very last person in the world to provoke such a terrible antagonist. Against him it would seem the Invisible Man used an iron rod dragged from a broken piece of fence. He stopped this quiet man, going quietly home to his midday meal, attacked him, beat down his feeble defences, broke his arm, felled him, and smashed his head to a jelly.",NO QUOTE,,,,0,26,1.0,1.0
1001,1002,"Of course, he must have dragged this rod out of the fencing before he met his victim he must have been carrying it ready in his hand. Only two details beyond what has already been stated seem to bear on the matter. One is the circumstance that the gravel pit was not in Mr. Wicksteed s direct path home, but nearly a couple of hundred yards out of his way. The other is the assertion of a little girl to the effect that, going to her afternoon school, she saw the murdered man  /newquote  in a peculiar manner across a field towards the gravel pit. Her pantomime of his action suggests a man pursuing something on the ground before him and striking at it ever and again with his walking-stick. She was the last person to see him alive. He passed out of her sight to his death, the struggle being hidden from her only by a clump of beech trees and a slight depression in the ground.",trotting,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,26,Anaphoric,he cried
1002,1003,"Now this, to the present writer s mind at least, lifts the murder out of the realm of the absolutely wanton. We may imagine that Griffin had taken the rod as a weapon indeed, but without any deliberate intention of using it in murder. Wicksteed may then have come by and noticed this rod inexplicably moving through the air. Without any thought of the Invisible Man for Port Burdock is ten miles away he may have pursued it. It is quite conceivable that he may not even have heard of the Invisible Man. One can then imagine the Invisible Man making off quietly in order to avoid discovering his presence in the neighbourhood, and Wicksteed, excited and curious, pursuing this unaccountably locomotive object finally striking at it.",NO QUOTE,,,,0,26,1.0,1.0
1003,1004,"No doubt the Invisible Man could easily have distanced his middle-aged pursuer under ordinary circumstances, but the position in which Wicksteed s body was found suggests that he had the ill luck to drive his quarry into a corner between a drift of stinging nettles and the gravel pit. To those who appreciate the extraordinary irascibility of the Invisible Man, the rest of the encounter will be easy to imagine.",NO QUOTE,,,,0,26,1.0,1.0
1004,1005,"But this is pure hypothesis. The only undeniable facts for stories of children are often unreliable are the discovery of Wicksteed s body, done to death, and of the blood-stained iron rod flung among the nettles. The abandonment of the rod by Griffin, suggests that in the emotional excitement of the affair, the purpose for which he took it if he had a purpose was abandoned. He was certainly an intensely egotistical and unfeeling man, but the sight of his victim, his first victim, bloody and pitiful at his feet, may have released some long pent fountain of remorse which for a time may have flooded whatever scheme of action he had contrived.",NO QUOTE,,,,0,26,1.0,1.0
1005,1006,"After the murder of Mr. Wicksteed, he would seem to have struck across the country towards the downland. There is a story of a voice heard about sunset by a couple of men in a field near Fern Bottom. It was wailing and laughing, sobbing and groaning, and ever and again it shouted. It must have been queer hearing. It drove up across the middle of a clover field and died away towards the hills.",NO QUOTE,,,,0,26,1.0,1.0
1006,1007,"That afternoon the Invisible Man must have learnt something of the rapid use Kemp had made of his confidences. He must have found houses locked and secured; he may have loitered about railway stations and prowled about inns, and no doubt he read the proclamations and realised something of the nature of the campaign against him. And as the evening advanced, the fields became dotted here and there with groups of three or four men, and noisy with the yelping of dogs. These men-hunters had particular instructions in the case of an encounter as to the way they should support one another. But he avoided them all. We may understand something of his exasperation, and it could have been none the less because he himself had supplied the information that was being used so remorselessly against him. For that day at least he lost heart; for nearly twenty-four hours, save when he turned on Wicksteed, he was a hunted man. In the night, he must have eaten and slept; for in the morning he was himself again, active, powerful, angry, and malignant, prepared for his last great struggle against the world.",NO QUOTE,,,,0,26,1.0,1.0
1007,1008,THE SIEGE OF KEMP S HOUSE,NO QUOTE,,,,0,27,1.0,1.0
1008,1009,"Kemp read a strange missive, written in pencil on a greasy sheet of paper.",NO QUOTE,,,,0,27,1.0,1.0
1009,1010," this letter ran, ","You have been amazingly energetic and clever, /newquote though what you stand to gain by it I cannot imagine. You are against me. For a whole day you have chased me; you have tried to rob me of a night s rest. But I have had food in spite of you, I have slept in spite of you, and the game is only beginning. The game is only beginning. There is nothing for it, but to start the Terror. This announces the first day of the Terror. Port Burdock is no longer under the Queen, tell your Colonel of Police, and the rest of them; it is under me the Terror! This is day one of year one of the new epoch the Epoch of the Invisible Man. I am Invisible Man the First. To begin with the rule will be easy. The first day there will be one execution for the sake of example a man named Kemp. Death starts for him to-day. He may lock himself away, hide himself away, get guards about him, put on armour if he likes Death, the unseen Death, is coming. Let him take precautions; it will impress my people. Death starts from the pillar box by midday. The letter will fall in as the postman comes along, then off! The game begins. Death starts. Help him not, my people, lest Death fall upon you also. To-day Kemp is to die.",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Implicit,
1010,1011,"Kemp read this letter twice,  /newquote  he said. ","It s no hoax, /newquote That s his voice! And he means it.",Kemp,[],NO MONOLOGUE,0,27,Anaphoric,he said
1011,1012,"He turned the folded sheet over and saw on the addressed side of it the postmark Hintondean, and the prosaic detail ",2d. to pay.,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,27,Anaphoric,he said
1012,1013,"He got up slowly, leaving his lunch unfinished the letter had come by the one o clock post and went into his study. He rang for his housekeeper, and told her to go round the house at once, examine all the fastenings of the windows, and close all the shutters. He closed the shutters of his study himself. From a locked drawer in his bedroom he took a little revolver, examined it carefully, and put it into the pocket of his lounge jacket. He wrote a number of brief notes, one to Colonel Adye, gave them to his servant to take, with explicit instructions as to her way of leaving the house.  /newquote  he said, and added a mental reservation,  /newquote  He remained meditative for a space after doing this, and then returned to his cooling lunch.","There is no danger, /newquote to you.",Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,27,Implicit,
1013,1014,He ate with gaps of thought. Finally he struck the table sharply.  /newquote  he said; ,We will have him! /newquote and I am the bait. He will come too far.,Kemp,[],NO MONOLOGUE,0,27,Anaphoric,he said
1014,1015,"He went up to the belvedere, carefully shutting every door after him.  /newquote  he said, ","It s a game, /newquote an odd game but the chances are all for me, Mr. Griffin, in spite of your invisibility. Griffin _contra mundum_ ... with a vengeance.",Kemp,[],NO MONOLOGUE,0,27,Anaphoric,he said
1015,1016,He stood at the window staring at the hot hillside. ,He must get food every day and I don t envy him. Did he really sleep last night? Out in the open somewhere secure from collisions. I wish we could get some good cold wet weather instead of the heat.,Kemp,[],NO MONOLOGUE,0,27,Implicit,
1016,1017,NO APPEND,He may be watching me now.,Kemp,[],NO MONOLOGUE,0,27,Implicit,
1017,1018,"He went close to the window. Something rapped smartly against the brickwork over the frame, and made him start violently back.",NO QUOTE,,,,0,27,1.0,1.0
1018,1019, said Kemp. But it was five minutes before he went to the window again.  /newquote  he said.,"I m getting nervous, /newquote It must have been a sparrow,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,27,Implicit,
1019,1020,"Presently he heard the front-door bell ringing, and hurried downstairs. He unbolted and unlocked the door, examined the chain, put it up, and opened cautiously without showing himself. A familiar voice hailed him. It was Adye.",NO QUOTE,,,,0,27,1.0,1.0
1020,1021, he said round the door.,"Your servant s been assaulted, Kemp,",Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Anaphoric,he said
1021,1022, exclaimed Kemp.,What!,Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,27,Implicit,
1022,1023,NO APPEND,Had that note of yours taken away from her. He s close about here. Let me in.,Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Implicit,
1023,1024,"Kemp released the chain, and Adye entered through as narrow an opening as possible. He stood in the hall, looking with infinite relief at Kemp refastening the door. ",Note was snatched out of her hand. Scared her horribly. She s down at the station. Hysterics. He s close here. What was it about?,Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Implicit,
1024,1025,Kemp swore.,NO QUOTE,,,,0,27,1.0,1.0
1025,1026, said Kemp. ,"What a fool I was, /newquote I might have known. It s not an hour s walk from Hintondean. Already?",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1026,1027, said Adye.,What s up?,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,27,Explicit,said the mariner
1027,1028," said Kemp, and led the way into his study. He handed Adye the Invisible Man s letter. Adye read it and whistled softly.  /newquote  said Adye.",Look here! /newquote And you ?,Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,27,Implicit,
1028,1029," said Kemp, ","Proposed a trap like a fool, /newquote and sent my proposal out by a maid servant. To him.",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1029,1030,Adye followed Kemp s profanity.,NO QUOTE,,,,0,27,1.0,1.0
1030,1031, said Adye.,"He ll clear out,",Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Explicit,said Adye
1031,1032, said Kemp.,"Not he,",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1032,1033,"A resounding smash of glass came from upstairs. Adye had a silvery glimpse of a little revolver half out of Kemp s pocket.  /newquote  said Kemp, and led the way up. There came a second smash while they were still on the staircase. When they reached the study they found two of the three windows smashed, half the room littered with splintered glass, and one big flint lying on the writing table. The two men stopped in the doorway, contemplating the wreckage. Kemp swore again, and as he did so the third window went with a snap like a pistol, hung starred for a moment, and collapsed in jagged, shivering triangles into the room.","It s a window, upstairs!",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1033,1034, said Adye.,What s this for?,Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Explicit,said Adye
1034,1035, said Kemp.,"It s a beginning,",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1035,1036,NO APPEND,There s no way of climbing up here?,Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Implicit,
1036,1037, said Kemp.,"Not for a cat,",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1037,1038,NO APPEND,No shutters?,Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Implicit,
1038,1039,NO APPEND,Not here. All the downstairs rooms Hullo!,Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Implicit,
1039,1040,"Smash, and then whack of boards hit hard came from downstairs.  /newquote  said Kemp. ","Confound him! /newquote That must be yes it s one of the bedrooms. He s going to do all the house. But he s a fool. The shutters are up, and the glass will fall outside. He ll cut his feet.",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1040,1041,Another window proclaimed its destruction. The two men stood on the landing perplexed.  /newquote  said Adye. ,"I have it! /newquote Let me have a stick or something, and I ll go down to the station and get the bloodhounds put on. That ought to settle him! They re hard by not ten minutes ",Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Explicit,said Adye
1041,1042,Another window went the way of its fellows.,NO QUOTE,,,,0,27,1.0,1.0
1042,1043, asked Adye.,You haven t a revolver?,Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Explicit,asked Adye
1043,1044,Kemp s hand went to his pocket. Then he hesitated. ,I haven t one at least to spare.,Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Implicit,
1044,1045," said Adye, ","I ll bring it back, /newquote you ll be safe here.",Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Explicit,said Adye
1045,1046,"Kemp, ashamed of his momentary lapse from truthfulness, handed him the weapon.",NO QUOTE,,,,0,27,1.0,1.0
1046,1047, said Adye.,"Now for the door,",Colonel Adye,['Kemp'],NO MONOLOGUE,0,27,Explicit,said Adye
1047,1048,"As they stood hesitating in the hall, they heard one of the first-floor bedroom windows crack and clash. Kemp went to the door and began to slip the bolts as silently as possible. His face was a little paler than usual.  /newquote  said Kemp. In another moment Adye was on the doorstep and the bolts were dropping back into the staples. He hesitated for a moment, feeling more comfortable with his back against the door. Then he marched, upright and square, down the steps. He crossed the lawn and approached the gate. A little breeze seemed to ripple over the grass. Something moved near him.  /newquote  said a Voice, and Adye stopped dead and his hand tightened on the revolver.","You must step straight out, /newquote Stop a bit,",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said Kemp
1048,1049," said Adye, white and grim, and every nerve tense.",Well?,Mr. Teddy Henfrey,['Fearenside'],NO MONOLOGUE,0,27,Explicit,said Teddy Henfrey
1049,1050," said the Voice, as tense and grim as Adye s.","Oblige me by going back to the house,",The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said the Voice
1050,1051," said Adye a little hoarsely, and moistened his lips with his tongue. The Voice was on his left front, he thought. Suppose he were to take his luck with a shot?","Sorry,",Colonel Adye,['The Invisible Man'],NO MONOLOGUE,0,27,Explicit,said Adye
1051,1052," said the Voice, and there was a quick movement of the two, and a flash of sunlight from the open lip of Adye s pocket.",What are you going for?,The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said the Voice
1052,1053,"Adye desisted and thought.  /newquote  he said slowly,  /newquote  The words were still on his lips, when an arm came round his neck, his back felt a knee, and he was sprawling backward. He drew clumsily and fired absurdly, and in another moment he was struck in the mouth and the revolver wrested from his grip. He made a vain clutch at a slippery limb, tried to struggle up and fell back.  /newquote  said Adye. The Voice laughed.  /newquote  it said. He saw the revolver in mid-air, six feet off, covering him.","Where I go, /newquote is my own business. /newquote Damn! /newquote I d kill you now if it wasn t the waste of a bullet,",The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Anaphoric,it said
1053,1054," said Adye, sitting up.",Well?,Mr. Teddy Henfrey,['Fearenside'],NO MONOLOGUE,0,27,Explicit,said Teddy Henfrey
1054,1055, said the Voice.,"Get up,",Mr. Hall,['Mr. Teddy Henfrey'],NO MONOLOGUE,0,27,Explicit,said Hall
1055,1056,Adye stood up.,NO QUOTE,,,,0,27,1.0,1.0
1056,1057," said the Voice, and then fiercely, ","Attention, /newquote Don t try any games. Remember I can see your face if you can t see mine. You ve got to go back to the house.",The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said the Voice
1057,1058, said Adye.,"He won t let me in,",Colonel Adye,['The Invisible Man'],NO MONOLOGUE,0,27,Explicit,said Adye
1058,1059, said the Invisible Man. ,"That s a pity, /newquote I ve got no quarrel with you.",The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said the Invisible Man
1059,1060,"Adye moistened his lips again. He glanced away from the barrel of the revolver and saw the sea far off very blue and dark under the midday sun, the smooth green down, the white cliff of the Head, and the multitudinous town, and suddenly he knew that life was very sweet. His eyes came back to this little metal thing hanging between heaven and earth, six yards away.  /newquote  he said sullenly.",What am I to do?,Colonel Adye,['The Invisible Man'],NO MONOLOGUE,0,27,Anaphoric,he said
1060,1061, asked the Invisible Man. ,What am _I_ to do? /newquote You will get help. The only thing is for you to go back.,The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,asked the Invisible Man
1061,1062,NO APPEND,I will try. If he lets me in will you promise not to rush the door?,Colonel Adye,['The Invisible Man'],NO MONOLOGUE,0,27,Implicit,
1062,1063, said the Voice.,"I ve got no quarrel with you,",The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Explicit,said the Voice
1063,1064,"Kemp had hurried upstairs after letting Adye out, and now crouching among the broken glass and peering cautiously over the edge of the study window sill, he saw Adye stand parleying with the Unseen.  /newquote  whispered Kemp to himself. Then the revolver moved a little and the glint of the sunlight flashed in Kemp s eyes. He shaded his eyes and tried to see the source of the blinding beam.",Why doesn t he fire?,Kemp,['Kemp'],NO MONOLOGUE,0,27,Explicit,whispered Kemp to himself
1064,1065," he said, ",Surely! /newquote Adye has given up the revolver.,Kemp,[],NO MONOLOGUE,0,27,Anaphoric,he said
1065,1066, Adye was saying. ,"Promise not to rush the door, /newquote Don t push a winning game too far. Give a man a chance.",Colonel Adye,['The Invisible Man'],NO MONOLOGUE,0,27,Explicit,Adye was saying
1066,1067,NO APPEND,You go back to the house. I tell you flatly I will not promise anything.,The Invisible Man,['Colonel Adye'],NO MONOLOGUE,0,27,Implicit,
1067,1068,"Adye s decision seemed suddenly made. He turned towards the house, walking slowly with his hands behind him. Kemp watched him puzzled. The revolver vanished, flashed again into sight, vanished again, and became evident on a closer scrutiny as a little dark object following Adye. Then things happened very quickly. Adye leapt backwards, swung around, clutched at this little object, missed it, threw up his hands and fell forward on his face, leaving a little puff of blue in the air. Kemp did not hear the sound of the shot. Adye writhed, raised himself on one arm, fell forward, and lay still.",NO QUOTE,,,,0,27,1.0,1.0
1068,1069,"For a space Kemp remained staring at the quiet carelessness of Adye s attitude. The afternoon was very hot and still, nothing seemed stirring in all the world save a couple of yellow butterflies chasing each other through the shrubbery between the house and the road gate. Adye lay on the lawn near the gate. The blinds of all the villas down the hill-road were drawn, but in one little green summer-house was a white figure, apparently an old man asleep. Kemp scrutinised the surroundings of the house for a glimpse of the revolver, but it had vanished. His eyes came back to Adye. The game was opening well.",NO QUOTE,,,,0,27,1.0,1.0
1069,1070,"Then came a ringing and knocking at the front door, that grew at last tumultuous, but pursuant to Kemp s instructions the servants had locked themselves into their rooms. This was followed by a silence. Kemp sat listening and then began peering cautiously out of the three windows, one after another. He went to the staircase head and stood listening uneasily. He armed himself with his bedroom poker, and went to examine the interior fastenings of the ground-floor windows again. Everything was safe and quiet. He returned to the belvedere. Adye lay motionless over the edge of the gravel just as he had fallen. Coming along the road by the villas were the housemaid and two policemen.",NO QUOTE,,,,0,27,1.0,1.0
1070,1071,Everything was deadly still. The three people seemed very slow in approaching. He wondered what his antagonist was doing.,NO QUOTE,,,,0,27,1.0,1.0
1071,1072,"He started. There was a smash from below. He hesitated and went downstairs again. Suddenly the house resounded with heavy blows and the splintering of wood. He heard a smash and the destructive clang of the iron fastenings of the shutters. He turned the key and opened the kitchen door. As he did so, the shutters, split and splintering, came flying inward. He stood aghast. The window frame, save for one crossbar, was still intact, but only little teeth of glass remained in the frame. The shutters had been driven in with an axe, and now the axe was descending in sweeping blows upon the window frame and the iron bars defending it. Then suddenly it leapt aside and vanished. He saw the revolver lying on the path outside, and then the little weapon sprang into the air. He dodged back. The revolver cracked just too late, and a splinter from the edge of the closing door flashed over his head. He slammed and locked the door, and as he stood outside he heard Griffin shouting and laughing. Then the blows of the axe with its splitting and smashing consequences, were resumed.",NO QUOTE,,,,0,27,1.0,1.0
1072,1073,"Kemp stood in the passage trying to think. In a moment the Invisible Man would be in the kitchen. This door would not keep him a moment, and then ",NO QUOTE,,,,0,27,1.0,1.0
1073,1074,"A ringing came at the front door again. It would be the policemen. He ran into the hall, put up the chain, and drew the bolts. He made the girl speak before he dropped the chain, and the three people blundered into the house in a heap, and Kemp slammed the door again.",NO QUOTE,,,,0,27,1.0,1.0
1074,1075, said Kemp. ,"The Invisible Man! /newquote He has a revolver, with two shots left. He s killed Adye. Shot him anyhow. Didn t you see him on the lawn? He s lying there.",Kemp,"['The Second Policeman', 'The First Policeman', 'The Housemaid']",NO MONOLOGUE,0,27,Explicit,said Kemp
1075,1076, said one of the policemen.,Who?,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,27,Anaphoric,he cried
1076,1077, said Kemp.,"Adye,",Kemp,['Colonel Adye'],NO MONOLOGUE,0,27,Implicit,
1077,1078, said the girl.,"We came in the back way,",The Housemaid,"['Kemp', 'The Second Policeman', 'The First Policeman']",NO MONOLOGUE,0,27,Anaphoric,said the girl
1078,1079, asked one of the policemen.,What s that smashing?,Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,27,Explicit,said Jaffers
1079,1080,NO APPEND,He s in the kitchen or will be. He has found an axe ,Kemp,"['The Second Policeman', 'The First Policeman', 'The Housemaid']",NO MONOLOGUE,0,27,Implicit,
1080,1081,"Suddenly the house was full of the Invisible Man s resounding blows on the kitchen door. The girl stared towards the kitchen, shuddered, and retreated into the dining-room. Kemp tried to explain in broken sentences. They heard the kitchen door give.",NO QUOTE,,,,0,27,1.0,1.0
1081,1082," said Kemp, starting into activity, and bundled the policemen into the dining-room doorway.","This way,",The Policeman,"['The Cabman', 'Mr. Thomas Marvel']",NO MONOLOGUE,0,27,Explicit,said the policeman
1082,1083," said Kemp, and rushed to the fender. He handed the poker he had carried to the policeman and the dining-room one to the other. He suddenly flung himself backward.","Poker,",Kemp,"['The Second Policeman', 'The First Policeman', 'The Housemaid']",NO MONOLOGUE,0,27,Explicit,said Kemp
1083,1084," said one policeman, ducked, and caught the axe on his poker. The pistol snapped its penultimate shot and ripped a valuable Sidney Cooper. The second policeman brought his poker down on the little weapon, as one might knock down a wasp, and sent it rattling to the floor.",Whup!,Mr. Hall,"['Fearenside', 'The Invisible Man']",NO MONOLOGUE,0,27,Explicit,cried Hall
1084,1085,"At the first clash the girl screamed, stood screaming for a moment by the fireplace, and then ran to open the shutters possibly with an idea of escaping by the shattered window.",NO QUOTE,,,,0,27,1.0,1.0
1085,1086,"The axe receded into the passage, and fell to a position about two feet from the ground. They could hear the Invisible Man breathing.  /newquote  he said. ","Stand away, you two, /newquote I want that man Kemp.",The Invisible Man,"['Kemp', 'The Second Policeman', 'The First Policeman']",NO MONOLOGUE,0,27,Anaphoric,he said
1086,1087," said the first policeman, making a quick step forward and wiping with his poker at the Voice. The Invisible Man must have started back, and he blundered into the umbrella stand.","We want you,",The First Policeman,"['The Invisible Man', 'Kemp', 'The Second Policeman']",NO MONOLOGUE,0,27,Explicit,said the first policeman
1087,1088,"Then, as the policeman staggered with the swing of the blow he had aimed, the Invisible Man countered with the axe, the helmet crumpled like paper, and the blow sent the man spinning to the floor at the head of the kitchen stairs. But the second policeman, aiming behind the axe with his poker, hit something soft that snapped. There was a sharp exclamation of pain and then the axe fell to the ground. The policeman wiped again at vacancy and hit nothing; he put his foot on the axe, and struck again. Then he stood, poker clubbed, listening intent for the slightest movement.",NO QUOTE,,,,0,27,1.0,1.0
1088,1089,"He heard the dining-room window open, and a quick rush of feet within. His companion rolled over and sat up, with the blood running down between his eye and ear.  /newquote  asked the man on the floor.",Where is he?,The Second Policeman,"['Kemp', 'The First Policeman']",NO MONOLOGUE,0,27,Explicit,asked the man on the floor
1089,1090,NO APPEND,Don t know. I ve hit him. He s standing somewhere in the hall. Unless he s slipped past you. Doctor Kemp sir.,The First Policeman,"['Kemp', 'The Second Policeman']",NO MONOLOGUE,0,27,Implicit,
1090,1091,Pause.,NO QUOTE,,,,0,27,1.0,1.0
1091,1092, cried the policeman again.,"Doctor Kemp,",The First Policeman,['The Second Policeman'],NO MONOLOGUE,0,27,Explicit,cried the policeman
1092,1093,"The second policeman began struggling to his feet. He stood up. Suddenly the faint pad of bare feet on the kitchen stairs could be heard.  /newquote  cried the first policeman, and incontinently flung his poker. It smashed a little gas bracket.",Yap!,Huxter,['Mr. Thomas Marvel'],NO MONOLOGUE,0,27,Explicit,cried Huxter
1093,1094,He made as if he would pursue the Invisible Man downstairs. Then he thought better of it and stepped into the dining-room.,NO QUOTE,,,,0,27,1.0,1.0
1094,1095," he began, and stopped short.",Doctor Kemp ,The First Policeman,"['Kemp', 'The Second Policeman']",NO MONOLOGUE,0,27,Implicit,
1095,1096," he said, as his companion looked over his shoulder.","Doctor Kemp s a hero,",The First Policeman,"['Kemp', 'The Second Policeman']",NO MONOLOGUE,0,27,Implicit,
1096,1097,"The dining-room window was wide open, and neither housemaid nor Kemp was to be seen.",NO QUOTE,,,,0,27,1.0,1.0
1097,1098,The second policeman s opinion of Kemp was terse and vivid.,NO QUOTE,,,,0,27,1.0,1.0
1098,1099,THE HUNTER HUNTED,NO QUOTE,,,,0,28,1.0,1.0
1099,1100,"Mr. Heelas, Mr. Kemp s nearest neighbour among the villa holders, was asleep in his summer house when the siege of Kemp s house began. Mr. Heelas was one of the sturdy minority who refused to believe  /newquote  about an Invisible Man. His wife, however, as he was subsequently to be reminded, did. He insisted upon walking about his garden just as if nothing was the matter, and he went to sleep in the afternoon in accordance with the custom of years. He slept through the smashing of the windows, and then woke up suddenly with a curious persuasion of something wrong. He looked across at Kemp s house, rubbed his eyes and looked again. Then he put his feet to the ground, and sat listening. He said he was damned, but still the strange thing was visible. The house looked as though it had been deserted for weeks after a violent riot. Every window was broken, and every window, save those of the belvedere study, was blinded by the internal shutters.",in all this nonsense,Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,28,Explicit,said Jaffers
1100,1101, he looked at his watch ,I could have sworn it was all right /newquote twenty minutes ago.,Mr. Heelas,[],NO MONOLOGUE,0,28,Implicit,
1101,1102,"He became aware of a measured concussion and the clash of glass, far away in the distance. And then, as he sat open-mouthed, came a still more wonderful thing. The shutters of the drawing-room window were flung open violently, and the housemaid in her outdoor hat and garments, appeared struggling in a frantic manner to throw up the sash. Suddenly a man appeared beside her, helping her Dr. Kemp! In another moment the window was open, and the housemaid was struggling out; she pitched forward and vanished among the shrubs. Mr. Heelas stood up, exclaiming vaguely and vehemently at all these wonderful things. He saw Kemp stand on the sill, spring from the window, and reappear almost instantaneously running along a path in the shrubbery and stooping as he ran, like a man who evades observation. He vanished behind a laburnum, and appeared again clambering over a fence that abutted on the open down. In a second he had tumbled over and was running at a tremendous pace down the slope towards Mr. Heelas.",NO QUOTE,,,,0,28,1.0,1.0
1102,1103," cried Mr. Heelas, struck with an idea; ","Lord! /newquote it s that Invisible Man brute! It s right, after all!",Mr. Heelas,[],NO MONOLOGUE,0,28,Explicit,cried Mr Heelas
1103,1104,"With Mr. Heelas to think things like that was to act, and his cook watching him from the top window was amazed to see him come pelting towards the house at a good nine miles an hour. There was a slamming of doors, a ringing of bells, and the voice of Mr. Heelas bellowing like a bull.  /newquote  Instantly the house was full of screams and directions, and scurrying feet. He ran himself to shut the French windows that opened on the veranda; as he did so Kemp s head and shoulders and knee appeared over the edge of the garden fence. In another moment Kemp had ploughed through the asparagus, and was running across the tennis lawn to the house.","Shut the doors, shut the windows, shut everything! the Invisible Man is coming!",Mr. Heelas,[],NO MONOLOGUE,0,28,Explicit,Mr Heelas bellowing
1104,1105," said Mr. Heelas, shutting the bolts. ","You can t come in, /newquote I m very sorry if he s after you, but you can t come in!",Mr. Heelas,[],NO MONOLOGUE,0,28,Explicit,said Mr Heelas
1105,1106,"Kemp appeared with a face of terror close to the glass, rapping and then shaking frantically at the French window. Then, seeing his efforts were useless, he ran along the veranda, vaulted the end, and went to hammer at the side door. Then he ran round by the side gate to the front of the house, and so into the hill-road. And Mr. Heelas staring from his window a face of horror had scarcely witnessed Kemp vanish, ere the asparagus was being trampled this way and that by feet unseen. At that Mr. Heelas fled precipitately upstairs, and the rest of the chase is beyond his purview. But as he passed the staircase window, he heard the side gate slam.",NO QUOTE,,,,0,28,1.0,1.0
1106,1107,"Emerging into the hill-road, Kemp naturally took the downward direction, and so it was he came to run in his own person the very race he had watched with such a critical eye from the belvedere study only four days ago. He ran it well, for a man out of training, and though his face was white and wet, his wits were cool to the last. He ran with wide strides, and wherever a patch of rough ground intervened, wherever there came a patch of raw flints, or a bit of broken glass shone dazzling, he crossed it and left the bare invisible feet that followed to take what line they would.",NO QUOTE,,,,0,28,1.0,1.0
